"LOCUSTAG","GENE","EXP_70_TestInt","EXP_70_CntlInt","EXP_71_TestInt","EXP_71_CntlInt","EXP_72_TestInt","EXP_72_CntlInt","EXP_73_TestInt","EXP_73_CntlInt","EXP_74_TestInt","EXP_74_CntlInt","EXP_75_TestInt","EXP_75_CntlInt","EXP_76_TestInt","EXP_76_CntlInt","EXP_77_TestInt","EXP_77_CntlInt","EXP_78_TestInt","EXP_78_CntlInt","EXP_79_TestInt","EXP_79_CntlInt","EXP_80_TestInt","EXP_80_CntlInt","mean_exp","stdev_exp","RSD"
"b3541","dppD",2396.146,2064.39,2704.226,3004.689,3402.784,6345.42,3265.3,5499.177,585.084,583.06,1837.464,2810.284,644.707,926.405,599.66,831.746,607.188,610.565,410.006,442.796,3449.09,3036.092,2093.46722727273,1460.71539852375,0.69774935069163
"b3542","dppC",2892.297,2019.805,2545.088,2897.313,4499.347,9374.331,4557.415,7782.403,1307.867,1054.98,2729.65,2573.471,737.756,917.141,599.244,794.003,983.308,902.949,364.431,345.011,2787.971,2420.35,2503.91504545455,2066.07887233924,0.825139365686496
"b3543","dppB",2586.885,2184.368,2650.41,2932.672,3683.854,7176.178,3667.293,6716.528,1341.843,1164.908,2372.184,2538.921,413.86,419.638,752.997,894.849,749.612,783.614,327.08,417.172,4021.45,3431.206,2328.52372727273,1671.73495787824,0.717937695157718
"b3544","dppA",6898.18,6114.42,6876.697,5612.781,7266.274,15318.634,6855.281,12119.142,1166.12,1231.755,2917.466,2754.357,1326.584,1906.221,1006.408,1393.986,4190.771,5224.22,1246.788,1884.544,11641.586,9667.988,5210.00922727273,3581.09216632819,0.687348526674832
"b3545","proK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b3546","eptB",4976.791,2202.613,3148.611,5395.347,4889.598,12894.784,5502.99,10441.201,861.078,1262.441,2242.667,2666.996,514.312,1230.902,616.091,1071.191,2571.688,3977.097,1412.955,1669.847,NA,NA,NA,NA,NA
"b3547","yhjX",4921.901,2601.269,2926.58,4429.721,5067.295,8463.273,4491.557,6960.62,1029.694,1707.891,2259.049,2950.002,609.296,1500.263,604.04,1260.255,1911.514,673.484,1234.747,483.71,4405.225,4386.942,2949.01490909091,1851.46208164267,0.6278239136517
"b3548","yhjY",2657.769,2313.722,2777.363,3775.626,5035.782,7632.818,5107.848,8442.766,1491.45,2252.794,2256.702,3827.005,637.155,1088.782,713.614,1175.452,917.459,1076.774,629.473,722.073,1222.399,1146.086,2586.40509090909,1917.89844268975,0.741530570532411
"b3549","tag",1606.271,1943.579,2643.988,2820.04,3567.011,4978.516,3578.155,4585.934,1063.792,1144.895,1893.054,2391.168,413.717,639.81,433.083,649.642,987.406,1224.944,649.416,700.869,1198.073,1241.183,1834.29754545455,1089.94708605323,0.594204080332639
"b3550","yiaC",1527.546,1566.143,2696.739,2427.07,2185.125,3435.966,2759.134,3222.579,773.094,857.207,1347.902,1961.172,513.956,594.899,505.126,596.137,543.637,596.137,495.761,465.456,3683.854,3119.286,1630.633,925.241262641067,0.567412325545397
"b3551","bisC",3823.028,2883.29,3536.239,7538.177,4949.27,7809.422,5065.539,6301.589,401.846,705.988,1054.614,1588.556,663.292,1383.877,619.732,1527.017,1349.304,1424.263,469.994,414.578,956.088,1124.447,2526.825,2086.1952572003,0.82561920877002
"b3552","yiaD",2255.92,3464.665,4662.862,3834.971,9698.191,6447.392,7444.71,5091.941,1686.13,1922.143,3310.882,3180.417,688.828,740.317,733.931,842.481,1160.073,937.062,490.463,523.483,4059.257,4087.491,3057.43681818182,1990.04937318735,0.650888143085417
"b3553","ghrB",680.287,1545.652,4552.679,3335.067,7551.251,2041.622,7251.18,2500.498,1112.431,853.058,1471.937,1572.125,659.853,374.806,320.127,245.827,424.17,372.604,495.761,534.668,2422.868,2538.042,1948.02331818182,1572.167244135,0.807057713047491
"b3554","yiaF",2237.233,3309.735,5129.136,2424.548,11350.75,6679.387,9465.743,4105.949,1404.655,1195.999,2350.904,2046.581,746.76,712.872,662.373,674.886,1787.838,1349.304,992.897,860.183,5013.144,4367.222,3130.36813636364,2267.31071357407,0.724295231361469
"b3555","yiaG",2088.136,3753.446,4328.046,3346.645,2921.513,2879.295,3567.011,2513.531,406.75,478.376,1770.572,1884.544,672.085,567.116,798.971,654.387,622.314,496.793,454.3,403.521,4340.062,4114.496,1957.35954545455,1238.54702171866,0.632764187139181
"b3556","cspA",1223.671,5209.756,6605.72,2970.52,10462.935,2080.912,8073.62,2169.279,2241.114,806.762,4386.942,1660.037,1809.029,399.209,1439.648,608.241,11824.569,8614.193,5206.146,3411.05,3003.648,2705.163,3950.55290909091,2790.42781320829,0.706338549924754
"b3557","insJ",1114.747,730.885,2273.186,3185.933,3899.302,6325.659,5146.943,5738.667,968.763,1246.788,1900.944,2414.485,648.742,941.293,610.141,817.458,495.933,446.959,329.241,324.258,3041.358,3325.833,2087.61445454545,1522.12430967096,0.729121369301104
"b3558","insK",2226.404,1745.591,2199.561,2410.305,3584.36,4892.988,3691.522,4803.932,880.391,1105.13,2119.488,2532.769,822.573,735.204,872.191,927.691,527.856,511.291,373.509,345.131,3465.866,3603.043,2017.12709090909,1202.33165754088,0.596061429624151
"b3559","glyS",4616.232,7630.173,11097.907,4666.095,20234.085,8189.161,17318.184,4538.5,3241.622,2835.721,5965.8,4123.061,1800.897,1009.552,1850.886,1119.004,6934.134,5451.736,3700.488,2775.438,5365.512,4230.17,5849.74354545455,3556.42546197404,0.607962628504886
"b3560","glyQ",4685.541,10326.044,15457.292,3945.521,26050.077,14096.017,21476.928,12957.502,3451.481,1326.124,6303.774,2657.769,2447.342,1227.068,671.852,564.958,8263.287,8668.1,2655.927,1403.682,6902.963,5326.603,7312.08418181818,5556.55921435533,0.75991455735315
"b3561","wecH",1031.122,2751.495,3052.975,3696.643,3446.7,706.722,1092.184,861.675,953.111,694.341,1852.811,1438.65,264.477,261.923,587.319,384.276,712.625,646.721,266.594,287.118,3643.224,4807.263,1519.99859090909,1237.91568625963,0.814418969638157
"b3562","yiaA",3697.924,2215.628,2884.289,4463.625,7486.107,6984.785,6135.648,8713.279,1395.919,1527.546,2121.693,2433.809,624.042,629.691,717.582,739.804,420.22,399.209,411.429,412.286,3506.947,3565.775,2794.87440909091,2175.5738676643,0.778415609870624
